TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;ID_SUBCLASSE;DENOM_SOCIAL;DT_COMPTC;TP_ATIVO;PR_PL_ATIVO
CLASSES - FIF;00.089.915/0001-15;;AMARIL FRANKLIN FIC DE FIF MULTIMERCADO - CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;2025-08-31;Cotas de fundos de investimento 409;90.98
CLASSES - FIF;00.089.915/0001-15;;AMARIL FRANKLIN FIC DE FIF MULTIMERCADO - CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;2025-08-31;Depósitos a prazo e outros títulos de instituições financeiras;9.01
CLASSES - FIF;00.089.915/0001-15;;AMARIL FRANKLIN FIC DE FIF MULTIMERCADO - CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;2025-08-31;Operações compromissadas lastreadas em títulos públicos federais;0.04
CLASSES - FIF;00.089.915/0001-15;;AMARIL FRANKLIN FIC DE FIF MULTIMERCADO - CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;2025-08-31;Títulos públicos federais;0.11
CLASSES - FIF;00.280.302/0001-60;;BRADESCO H FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CRÉDITO PRIVADO LP TIPO - RESP LIMITADA;2025-08-31;Cotas de fundos de investimento 409;7.84
CLASSES - FIF;00.280.302/0001-60;;BRADESCO H FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CRÉDITO PRIVADO LP TIPO - RESP LIMITADA;2025-08-31;Depósitos a prazo e outros títulos de instituições financeiras;24.61
CLASSES - FIF;00.280.302/0001-60;;BRADESCO H FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CRÉDITO PRIVADO LP TIPO - RESP LIMITADA;2025-08-31;Derivativos;-1.58
CLASSES - FIF;00.280.302/0001-60;;BRADESCO H FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CRÉDITO PRIVADO LP TIPO - RESP LIMITADA;2025-08-31;Operações compromissadas lastreadas em títulos públicos federais;22.88
CLASSES - FIF;00.280.302/0001-60;;BRADESCO H FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CRÉDITO PRIVADO LP TIPO - RESP LIMITADA;2025-08-31;Títulos públicos federais;44.72
CLASSES - FIF;00.306.278/0001-91;;BRADESCO FIC DE FI FINANCEIRO RENDA FIXA REFERENCIADA DI - RESPONSABILIDADE LIMITADA;2025-08-31;Cotas de fundos de investimento 409;1.68
CLASSES - FIF;00.306.278/0001-91;;BRADESCO FIC DE FI FINANCEIRO RENDA FIXA REFERENCIADA DI - RESPONSABILIDADE LIMITADA;2025-08-31;Depósitos a prazo e outros títulos de instituições financeiras;26.64
CLASSES - FIF;00.306.278/0001-91;;BRADESCO FIC DE FI FINANCEIRO RENDA FIXA REFERENCIADA DI - RESPONSABILIDADE LIMITADA;2025-08-31;Operações compromissadas lastreadas em títulos públicos federais;41.45
CLASSES - FIF;00.306.278/0001-91;;BRADESCO FIC DE FI FINANCEIRO RENDA FIXA REFERENCIADA DI - RESPONSABILIDADE LIMITADA;2025-08-31;Títulos de crédito privado;12.30
CLASSES - FIF;00.306.278/0001-91;;BRADESCO FIC DE FI FINANCEIRO RENDA FIXA REFERENCIADA DI - RESPONSABILIDADE LIMITADA;2025-08-31;Títulos públicos federais;17.86
CLASSES - FIF;00.322.699/0001-06;;BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA;2025-08-31;Cotas de fundos de investimento 409;0.90
CLASSES - FIF;00.322.699/0001-06;;BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA;2025-08-31;Depósitos a prazo e outros títulos de instituições financeiras;59.25
CLASSES - FIF;00.322.699/0001-06;;BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA;2025-08-31;Operações compromissadas lastreadas em títulos públicos federais;26.71
CLASSES - FIF;00.322.699/0001-06;;BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA;2025-08-31;Outras aplicações;0.65
CLASSES - FIF;00.322.699/0001-06;;BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA;2025-08-31;Títulos de crédito privado;12.50
CLASSES - FIF;00.598.452/0001-17;;MB MASTER RF REFERENCIADO DI LP FUNDO DE INVESTIMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA;2025-08-31;Depósitos a prazo e outros títulos de instituições financeiras;27.30
CLASSES - FIF;00.598.452/0001-17;;MB MASTER RF REFERENCIADO DI LP FUNDO DE INVESTIMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA;2025-08-31;Operações compromissadas lastreadas em títulos públicos federais;14.74
CLASSES - FIF;00.598.452/0001-17;;MB MASTER RF REFERENCIADO DI LP FUNDO DE INVESTIMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA;2025-08-31;Títulos públicos federais;58.00
CLASSES - FIF;00.743.026/0001-20;;BANRISUL VIP FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO RESPONSABILIDADE LIMITADA;2025-08-31;DERIVATIVOS;-5.59
CLASSES - FIF;00.743.026/0001-20;;BANRISUL VIP FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO RESPONSABILIDADE LIMITADA;2025-08-31;OPERAÇÕES COMPROMISSADAS LASTREADAS EM TÍTULOS PÚBLICOS FEDERAIS;16.23
CLASSES - FIF;00.743.026/0001-20;;BANRISUL VIP FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO RESPONSABILIDADE LIMITADA;2025-08-31;TÍTULOS PÚBLICOS FEDERAIS;83.84
CLASSES - FIF;00.777.815/0001-81;;BRADESCO H FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI LP FUNCIONÁRIO - RESP LIMITADA;2025-08-31;Depósitos a prazo e outros títulos de instituições financeiras;4.73
CLASSES - FIF;00.777.815/0001-81;;BRADESCO H FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI LP FUNCIONÁRIO - RESP LIMITADA;2025-08-31;Operações compromissadas lastreadas em títulos públicos federais;57.54
CLASSES - FIF;00.777.815/0001-81;;BRADESCO H FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI LP FUNCIONÁRIO - RESP LIMITADA;2025-08-31;Títulos de crédito privado;0.02
CLASSES - FIF;00.777.815/0001-81;;BRADESCO H FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI LP FUNCIONÁRIO - RESP LIMITADA;2025-08-31;Títulos públicos federais;37.60
CLASSES - FIF;00.793.947/0001-05;;BRADESCO VÊNUS FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA - RESPONSABILIDADE LIMITADA;2025-08-31;Cotas de fundos de investimento 409;19.17
